Time (s),Product Position,Actual Temperature
398,799.9480839393186,95.4520004274209
399,801.8908140166923,94.70124047921023
400,804.5097221726791,93.95795071729871
401,805.7125083432819,93.22205681209076
402,807.412820831805,92.4934851735826
403,809.4154426816641,91.77216294400324
404,811.4389329785465,91.05801799052861
405,813.2139002428069,90.35097889806825
406,815.5253252089806,89.6509749621237
407,816.9915149942893,88.95793618171804
408,818.9203252517786,88.2717932523957
409,820.9804730676346,87.59247755929194
410,823.237692484664,86.91992117027135
411,825.5934999237085,86.25405682913458
412,827.0311788777896,85.59481794889263
413,828.2641217924217,84.9421386051081
414,830.902960203371,84.29595352930271
415,833.0691172093608,83.65619810243038
416,834.6948739410825,83.02280834841531
417,837.4704499288438,82.39572092775427
418,839.5282872459902,81.7748731311826
419,842.1179358380222,81.16020287340328
420,844.1516950787272,80.55164868687831
421,847.1820690411682,79.9491497156819
422,850.0597394623899,79.35264570941484
423,851.9352573881504,78.76207701717945
424,854.4210428636276,78.17738458161432
425,856.7437308384201,77.59850993298866
426,859.4280466171863,77.02539518335524
427,860.9455848868962,76.45798302076147
428,863.2886106168954,75.89621670351826
429,865.8178228603202,75.34004005452573
430,866.9384531171087,74.7893974556555
431,868.3468238607758,74.24423384218883
432,869.3272077718957,73.70449469731005
433,871.1925043546735,73.1701260466549
434,873.5512754825714,72.64107445291299
435,876.3024540086194,72.11728701048409
436,878.3395013988293,71.59871134018745
437,881.153809171615,71.0852955840239
438,882.4637584425075,70.57698839998997
439,883.6120672228299,70.07373895694369
440,885.5842933733816,69.57549692952134
441,887.7763260978512,69.08221249310499
442,889.7599787238041,68.59383631883993
443,890.7262576737842,68.11031956870175
444,892.6816976540277,67.63161389061253
445,894.0294629037753,67.1576714136055
446,896.3642991781903,66.68844474303802
447,898.5475983012387,66.22388695585201
448,900.0776584080751,65.76395159588162
449,901.8207249494068,65.30859266920757
450,903.2911181884623,64.85776463955773
451,905.2597786398258,64.41142242375344
452,907.7373498000763,63.96952138720116
453,909.2444867769086,63.532017339429004
454,911.4965100346675,63.09886652966759
455,913.2313812254813,62.67002564247498
456,914.8349448093501,62.245451793405095
457,916.7814296293728,61.82510252471921
458,918.2638084681631,61.40893580114017
459,919.9869838154896,60.9969100056488
460,921.3880448691951,60.588983935322204
461,924.3704074356533,60.185116797213404
462,926.3880392116391,59.785268204272036
463,928.0381764576429,59.389398171305594
464,930.14516641301,58.99746711098089
465,932.0890023881645,58.60943582986528
466,933.978517588398,58.2252655245073
467,936.2856009384196,57.84491777755626
468,938.6643547934433,57.46835455392051
469,940.399104219638,57.095538196963886
470,942.1111950993158,56.726431424740014
471,943.9736692507399,56.360997326264076
472,944.8227086683721,55.999199357821695
473,946.0651131372729,55.64100133931453
474,948.7485502709951,55.286367450642224
475,951.5710341277457,54.93526222812039
476,953.4465161079676,54.587650560934186
477,955.7347945894954,54.24349768762721
478,957.8904196667672,53.90276919262534
479,961.4298600709949,53.56543100279514
480,963.9896475267121,53.231449384036495
481,965.9256887309717,52.90079093790923
482,967.4479185106716,52.57342259829317
483,968.6446953505427,52.24931162808155
484,970.7464271684763,51.92842561590725
485,972.3682517958341,51.61073247290166
486,973.6571249410352,51.29620042948572
487,975.333838498914,50.984798032192984
488,976.7930644971068,50.67649414052421
489,979.6366353146431,50.371257923833326
490,982.0774551931178,50.06905885824429
491,984.0734688724594,49.76986672359871
492,986.8134409419044,49.4736516004338
493,988.8521250957283,49.18038386699038
494,990.4214829950641,48.89003419625074
495,993.1830450336989,48.602573553005826
496,995.4525000555412,48.31797319095177
497,996.933876978378,48.0362046498152
498,998.8387076393361,47.75723975250719
499,1000.0,47.481050602305544
